food_code,Product_Name,Prep_Time_min,Calories_kcal,Sodium_mg,SatFat_g,TotalSugar_g,Category,Price_USD
27446100,"Chicken or turkey chow mein or chop suey, no noodles",3.0,207.5,860.0,1.7974999999999999,4.4,Instant Noodles and Soups,0.843515
58148550,Macaroni or pasta salad with meat,10.0,527.5,945.0,4.5675,3.9000000000000004,Macaroni and Pasta,0.8513
27220210,"Ham and noodles, no sauce",3.0,360.0,1207.5,2.9825,0.625,Instant Noodles and Soups,0.8555024999999999
73111212,"Peas and carrots, frozen, cooked, no added fat",5.0,145.0,462.5,0.06,10.725,Frozen and Ready Meals,0.86352125
58146150,Pasta with tomato-based sauce and cheese,10.0,297.5,1007.5,3.205,8.85,Macaroni and Pasta,0.8701325
71505040,"Potato tots, frozen, baked",5.0,467.5,1127.5,3.7325000000000004,0.75,Frozen and Ready Meals,0.8710125
75311022,"Classic mixed vegetables, frozen, cooked, fat added, NS as to fat type",5.0,215.0,387.5,1.7399999999999998,7.55,Frozen and Ready Meals,0.872515
58148180,Macaroni or pasta salad with cheese,10.0,615.0,655.0,10.1725,4.1499999999999995,Macaroni and Pasta,0.8729325
75311012,"Classic mixed vegetables, frozen, cooked, no added fat",5.0,162.5,377.5,0.0775,7.7749999999999995,Frozen and Ready Meals,0.87816375
75439500,"Chow mein or chop suey, meatless, no noodles",3.0,107.5,860.0,0.7324999999999999,6.574999999999999,Instant Noodles and Soups,0.8866400000000001
58146422,"Pasta with cream sauce and poultry, home recipe",10.0,392.5,625.0,8.9925,1.6,Macaroni and Pasta,0.8922375
58146423,"Pasta with cream sauce and poultry, ready-to-heat",10.0,425.0,962.5,9.4025,1.575,Macaroni and Pasta,0.89369375
58146421,"Pasta with cream sauce and poultry, restaurant",10.0,515.0,1402.5,10.5875,1.4749999999999999,Macaroni and Pasta,0.8992549999999999
75311027,"Classic mixed vegetables, frozen, cooked with oil",5.0,222.5,365.0,1.045,7.55,Frozen and Ready Meals,0.9046862499999999
11460000,"Frozen yogurt, vanilla",5.0,317.5,157.5,5.815,49.800000000000004,Frozen and Ready Meals,0.90551125
75204012,"Lima beans, from frozen, no added fat",5.0,257.5,462.5,0.1925,3.35,Frozen and Ready Meals,0.91023375
56112000,"Noodles, cooked",3.0,342.5,590.0,1.0425,1.0,Instant Noodles and Soups,0.9183774999999998
